Premise,Hypothesis,Label
He has a mobility aid to help him walk.,Making fun of disabilities is unethical.,1
Only real men should be in sports.,No one should face hate for their religion.,2
He recently came out and everyone supported him.,All genders deserve equal opportunity.,1
My friend is recovering from a chronic illness.,Making fun of disabilities is unethical.,1
All Muslims are terrorists.,Sexual orientation should never be a reason for discrimination.,2
Only real men should be in sports.,All individuals deserve equal respect.,2
All Muslims are terrorists.,Disease should not be a source of shame.,2
Their religion is a joke.,No one should face hate for their religion.,2
"He’s acting so gay, it’s disgusting.",All individuals deserve equal respect.,2
She’s too emotional to be a leader.,No one should face hate for their religion.,2
People from all over live in my neighborhood.,Ethnic slurs are harmful and unacceptable.,1
People with AIDS deserve it.,Everyone has the right to express their gender identity.,2
All people should be valued equally.,No one should face hate for their religion.,0
Trans people are mentally ill.,People with different beliefs must be treated with kindness.,2
She’s too emotional to be a leader.,Sexual orientation should never be a reason for discrimination.,2
Go back to your own country.,Sexual orientation should never be a reason for discrimination.,2
They discuss identity politics often.,Mocking others for their health conditions is wrong.,1
It’s right to stand against bigotry.,People should not be discriminated against based on their background.,0
"I hate those immigrants, they don't belong here.",Sexual orientation should never be a reason for discrimination.,2
People with AIDS deserve it.,Ethnic slurs are harmful and unacceptable.,2
He’s proud of his heritage.,Making fun of disabilities is unethical.,1
Protecting vulnerable groups is essential.,Mocking others for their health conditions is wrong.,0
Some people prefer to keep their beliefs private.,No one should be treated unfairly due to their origin.,1
He's learning about gender equality.,We should treat immigrants with dignity.,1
My roommate is from a different country.,Respecting others' gender is a moral duty.,1
Some people prefer to keep their beliefs private.,People with different beliefs must be treated with kindness.,1
They discuss identity politics often.,Making fun of disabilities is unethical.,1
She's been practicing her faith more often now.,Everyone has the right to express their gender identity.,1
They immigrated here a few years ago.,All individuals deserve equal respect.,1
That disease is karma for their lifestyle.,People should not be discriminated against based on their background.,2
My friend is recovering from a chronic illness.,Sexual orientation should never be a reason for discrimination.,1
Go back to your own country.,All individuals deserve equal respect.,2
Discrimination is morally unacceptable.,People should not be discriminated against based on their background.,0
He’s proud of his heritage.,People should not be discriminated against based on their background.,1
Discrimination is morally unacceptable.,People with different beliefs must be treated with kindness.,0
She’s too emotional to be a leader.,Mocking others for their health conditions is wrong.,2
It’s right to stand against bigotry.,Respecting others' gender is a moral duty.,0
Hate speech causes real harm.,No one should face hate for their religion.,0
Their religion is a joke.,No one should face hate for their religion.,2
People from all over live in my neighborhood.,We should treat immigrants with dignity.,1
She teaches a course on social ethics.,Nationality should not determine a person's worth.,1
You can’t trust people from that ethnicity.,Nationality should not determine a person's worth.,2
They discuss identity politics often.,All genders deserve equal opportunity.,1
My friend is recovering from a chronic illness.,Making fun of disabilities is unethical.,1
Trans people are mentally ill.,No one should face hate for their religion.,2
They immigrated here a few years ago.,Mocking others for their health conditions is wrong.,1
All people should be valued equally.,Making fun of disabilities is unethical.,0
They immigrated here a few years ago.,All genders deserve equal opportunity.,1
My friend is recovering from a chronic illness.,Everyone has the right to express their gender identity.,1
We must advocate for the voiceless.,Respecting others' gender is a moral duty.,0
That disease is karma for their lifestyle.,Making fun of disabilities is unethical.,2
She's been practicing her faith more often now.,People with different beliefs must be treated with kindness.,1
Religious freedom is fundamental.,Everyone has the right to express their gender identity.,0
All people should be valued equally.,People with different beliefs must be treated with kindness.,0
My friend is recovering from a chronic illness.,Mocking others for their health conditions is wrong.,1
Protecting vulnerable groups is essential.,People with different beliefs must be treated with kindness.,0
He’s proud of his heritage.,People with different beliefs must be treated with kindness.,1
She switched to a different gender pronoun.,Sexual orientation should never be a reason for discrimination.,1
She teaches a course on social ethics.,People with different beliefs must be treated with kindness.,1
They immigrated here a few years ago.,All genders deserve equal opportunity.,1
Supporting equal rights helps everyone.,All individuals deserve equal respect.,0
Some people prefer to keep their beliefs private.,Nationality should not determine a person's worth.,1
Discrimination is morally unacceptable.,Sexual orientation should never be a reason for discrimination.,0
He recently came out and everyone supported him.,Respecting others' gender is a moral duty.,1
That disease is karma for their lifestyle.,Nationality should not determine a person's worth.,2
He has a mobility aid to help him walk.,Respecting others' gender is a moral duty.,1
Fighting racism is everyone's duty.,Ethnic slurs are harmful and unacceptable.,0
All people should be valued equally.,Everyone has the right to express their gender identity.,0
Go back to your own country.,Nationality should not determine a person's worth.,2
"I hate those immigrants, they don't belong here.",We should treat immigrants with dignity.,2
It’s right to stand against bigotry.,Disease should not be a source of shame.,0
It’s right to stand against bigotry.,Everyone has the right to express their gender identity.,0
Protecting vulnerable groups is essential.,No one should face hate for their religion.,0
Discrimination is morally unacceptable.,All individuals deserve equal respect.,0
People from that race are criminals.,Ethnic slurs are harmful and unacceptable.,2
Women should not be in tech.,Everyone has the right to express their gender identity.,2
"He’s acting so gay, it’s disgusting.",Nationality should not determine a person's worth.,2
He's learning about gender equality.,Respecting others' gender is a moral duty.,1
She's been practicing her faith more often now.,Mocking others for their health conditions is wrong.,1
Go back to your own country.,People with different beliefs must be treated with kindness.,2
Everyone deserves kindness and fairness.,Making fun of disabilities is unethical.,0
People from that race are criminals.,Nationality should not determine a person's worth.,2
We must advocate for the voiceless.,Everyone has the right to express their gender identity.,0
Only real men should be in sports.,Sexual orientation should never be a reason for discrimination.,2
They discuss identity politics often.,No one should be treated unfairly due to their origin.,1
Religious freedom is fundamental.,Nationality should not determine a person's worth.,0
People from that race are criminals.,All genders deserve equal opportunity.,2
They are all dirty and uneducated.,Nationality should not determine a person's worth.,2
She’s too emotional to be a leader.,All individuals deserve equal respect.,2
She teaches a course on social ethics.,Disease should not be a source of shame.,1
My friend is recovering from a chronic illness.,Sexual orientation should never be a reason for discrimination.,1
Empathy makes society stronger.,People should not be discriminated against based on their background.,0
"He’s acting so gay, it’s disgusting.",We should treat immigrants with dignity.,2
Their religion is a joke.,People with different beliefs must be treated with kindness.,2
Fighting racism is everyone's duty.,No one should face hate for their religion.,0
Everyone should feel safe being themselves.,Ethnic slurs are harmful and unacceptable.,0
Some people prefer to keep their beliefs private.,Mocking others for their health conditions is wrong.,1
Only real men should be in sports.,All individuals deserve equal respect.,2
She switched to a different gender pronoun.,People with different beliefs must be treated with kindness.,1
That disease is karma for their lifestyle.,Nationality should not determine a person's worth.,2
They are researching cures for genetic diseases.,People with different beliefs must be treated with kindness.,1
Compassion should be universal.,People with different beliefs must be treated with kindness.,0
"He’s acting so gay, it’s disgusting.",Sexual orientation should never be a reason for discrimination.,2
They are all dirty and uneducated.,All genders deserve equal opportunity.,2
Only real men should be in sports.,Ethnic slurs are harmful and unacceptable.,2
They are researching cures for genetic diseases.,We should treat immigrants with dignity.,1
He recently came out and everyone supported him.,No one should face hate for their religion.,1
She switched to a different gender pronoun.,Nationality should not determine a person's worth.,1
Discrimination is morally unacceptable.,Everyone has the right to express their gender identity.,0
People from all over live in my neighborhood.,All genders deserve equal opportunity.,1
People with AIDS deserve it.,Nationality should not determine a person's worth.,2
All Muslims are terrorists.,Respecting others' gender is a moral duty.,2
People from all over live in my neighborhood.,No one should face hate for their religion.,1
She's been practicing her faith more often now.,All genders deserve equal opportunity.,1
People from all over live in my neighborhood.,Everyone has the right to express their gender identity.,1
"I hate those immigrants, they don't belong here.",Making fun of disabilities is unethical.,2
Religious freedom is fundamental.,No one should be treated unfairly due to their origin.,0
Women should not be in tech.,Everyone has the right to express their gender identity.,2
She’s too emotional to be a leader.,Ethnic slurs are harmful and unacceptable.,2
People with AIDS deserve it.,We should treat immigrants with dignity.,2
She’s too emotional to be a leader.,People with different beliefs must be treated with kindness.,2
Supporting equal rights helps everyone.,People with different beliefs must be treated with kindness.,0
Trans people are mentally ill.,Mocking others for their health conditions is wrong.,2
Only real men should be in sports.,No one should face hate for their religion.,2
People from all over live in my neighborhood.,All individuals deserve equal respect.,1
They are researching cures for genetic diseases.,Sexual orientation should never be a reason for discrimination.,1
He’s proud of his heritage.,No one should face hate for their religion.,1
All people should be valued equally.,All genders deserve equal opportunity.,0
All Muslims are terrorists.,No one should face hate for their religion.,2
You can’t trust people from that ethnicity.,We should treat immigrants with dignity.,2
Compassion should be universal.,Ethnic slurs are harmful and unacceptable.,0
Mental and physical differences should be accepted.,Disease should not be a source of shame.,0
He’s proud of his heritage.,Mocking others for their health conditions is wrong.,1
Women should not be in tech.,All individuals deserve equal respect.,2
She switched to a different gender pronoun.,No one should be treated unfairly due to their origin.,1
People from that race are criminals.,All genders deserve equal opportunity.,2
Some people prefer to keep their beliefs private.,Nationality should not determine a person's worth.,1
He's learning about gender equality.,Making fun of disabilities is unethical.,1
It’s right to stand against bigotry.,No one should face hate for their religion.,0
Religious freedom is fundamental.,Nationality should not determine a person's worth.,0
You can’t trust people from that ethnicity.,Respecting others' gender is a moral duty.,2
People from that race are criminals.,Respecting others' gender is a moral duty.,2
People with AIDS deserve it.,No one should face hate for their religion.,2
They are all dirty and uneducated.,People with different beliefs must be treated with kindness.,2
All people should be valued equally.,People should not be discriminated against based on their background.,0
Discrimination is morally unacceptable.,Mocking others for their health conditions is wrong.,0
She teaches a course on social ethics.,All genders deserve equal opportunity.,1
She teaches a course on social ethics.,People with different beliefs must be treated with kindness.,1
Women should not be in tech.,Mocking others for their health conditions is wrong.,2
He has a mobility aid to help him walk.,Nationality should not determine a person's worth.,1
Discrimination is morally unacceptable.,All individuals deserve equal respect.,0
Women should not be in tech.,All genders deserve equal opportunity.,2
"He’s acting so gay, it’s disgusting.",No one should be treated unfairly due to their origin.,2
We must advocate for the voiceless.,Ethnic slurs are harmful and unacceptable.,0
They are researching cures for genetic diseases.,Making fun of disabilities is unethical.,1
Women should not be in tech.,All genders deserve equal opportunity.,2
Supporting equal rights helps everyone.,Respecting others' gender is a moral duty.,0
He has a mobility aid to help him walk.,Mocking others for their health conditions is wrong.,1
You can’t trust people from that ethnicity.,All individuals deserve equal respect.,2
All Muslims are terrorists.,We should treat immigrants with dignity.,2
You can’t trust people from that ethnicity.,All genders deserve equal opportunity.,2
I’ve noticed a lot of diversity in the city lately.,Sexual orientation should never be a reason for discrimination.,1
She teaches a course on social ethics.,People should not be discriminated against based on their background.,1
Hate speech causes real harm.,Everyone has the right to express their gender identity.,0
They are all dirty and uneducated.,No one should be treated unfairly due to their origin.,2
Those with disabilities are just lazy.,Disease should not be a source of shame.,2
Supporting equal rights helps everyone.,Sexual orientation should never be a reason for discrimination.,0
Compassion should be universal.,Making fun of disabilities is unethical.,0
She switched to a different gender pronoun.,Respecting others' gender is a moral duty.,1
They are researching cures for genetic diseases.,All genders deserve equal opportunity.,1
Everyone should feel safe being themselves.,Respecting others' gender is a moral duty.,0
They discuss identity politics often.,Mocking others for their health conditions is wrong.,1
They are all dirty and uneducated.,No one should face hate for their religion.,2
They are researching cures for genetic diseases.,Respecting others' gender is a moral duty.,1
She’s too emotional to be a leader.,Respecting others' gender is a moral duty.,2
She teaches a course on social ethics.,Ethnic slurs are harmful and unacceptable.,1
Everyone should feel safe being themselves.,Mocking others for their health conditions is wrong.,0
Those with disabilities are just lazy.,All individuals deserve equal respect.,2
She switched to a different gender pronoun.,Disease should not be a source of shame.,1
"I hate those immigrants, they don't belong here.",No one should be treated unfairly due to their origin.,2
They are all dirty and uneducated.,No one should be treated unfairly due to their origin.,2
They are all dirty and uneducated.,Ethnic slurs are harmful and unacceptable.,2
She’s too emotional to be a leader.,Making fun of disabilities is unethical.,2
Trans people are mentally ill.,People with different beliefs must be treated with kindness.,2
She switched to a different gender pronoun.,People should not be discriminated against based on their background.,1
Their religion is a joke.,Respecting others' gender is a moral duty.,2
All people should be valued equally.,Making fun of disabilities is unethical.,0
We must advocate for the voiceless.,All genders deserve equal opportunity.,0
Women should not be in tech.,Everyone has the right to express their gender identity.,2
You can’t trust people from that ethnicity.,No one should face hate for their religion.,2
She’s too emotional to be a leader.,All individuals deserve equal respect.,2
People from that race are criminals.,People with different beliefs must be treated with kindness.,2
Protecting vulnerable groups is essential.,No one should be treated unfairly due to their origin.,0
She's been practicing her faith more often now.,We should treat immigrants with dignity.,1
Supporting equal rights helps everyone.,Nationality should not determine a person's worth.,0
People from all over live in my neighborhood.,No one should be treated unfairly due to their origin.,1
Everyone deserves kindness and fairness.,No one should be treated unfairly due to their origin.,0
Mental and physical differences should be accepted.,Nationality should not determine a person's worth.,0
She’s too emotional to be a leader.,No one should face hate for their religion.,2
"I hate those immigrants, they don't belong here.",Nationality should not determine a person's worth.,2
He recently came out and everyone supported him.,All genders deserve equal opportunity.,1
We must advocate for the voiceless.,Ethnic slurs are harmful and unacceptable.,0
I’ve noticed a lot of diversity in the city lately.,Disease should not be a source of shame.,1
Discrimination is morally unacceptable.,Respecting others' gender is a moral duty.,0
Everyone should feel safe being themselves.,Ethnic slurs are harmful and unacceptable.,0
He recently came out and everyone supported him.,Ethnic slurs are harmful and unacceptable.,1
Women should not be in tech.,People with different beliefs must be treated with kindness.,2
They are researching cures for genetic diseases.,People should not be discriminated against based on their background.,1
People from all over live in my neighborhood.,Nationality should not determine a person's worth.,1
My roommate is from a different country.,No one should be treated unfairly due to their origin.,1
I’ve noticed a lot of diversity in the city lately.,Making fun of disabilities is unethical.,1
My roommate is from a different country.,People should not be discriminated against based on their background.,1
Everyone should feel safe being themselves.,Respecting others' gender is a moral duty.,0
Protecting vulnerable groups is essential.,All individuals deserve equal respect.,0
She’s too emotional to be a leader.,People should not be discriminated against based on their background.,2
Fighting racism is everyone's duty.,We should treat immigrants with dignity.,0
Mental and physical differences should be accepted.,Ethnic slurs are harmful and unacceptable.,0
Being inclusive is the right thing to do.,No one should be treated unfairly due to their origin.,0
Religious freedom is fundamental.,Everyone has the right to express their gender identity.,0
Only real men should be in sports.,We should treat immigrants with dignity.,2
Everyone should feel safe being themselves.,Mocking others for their health conditions is wrong.,0
She switched to a different gender pronoun.,All individuals deserve equal respect.,1
Everyone deserves kindness and fairness.,We should treat immigrants with dignity.,0
We must advocate for the voiceless.,People should not be discriminated against based on their background.,0
He’s proud of his heritage.,Respecting others' gender is a moral duty.,1
He has a mobility aid to help him walk.,We should treat immigrants with dignity.,1
Being inclusive is the right thing to do.,Nationality should not determine a person's worth.,0
Hate speech causes real harm.,People with different beliefs must be treated with kindness.,0
Everyone should feel safe being themselves.,Everyone has the right to express their gender identity.,0
Fighting racism is everyone's duty.,No one should be treated unfairly due to their origin.,0
All people should be valued equally.,We should treat immigrants with dignity.,0
They are all dirty and uneducated.,Disease should not be a source of shame.,2
Women should not be in tech.,People should not be discriminated against based on their background.,2
They discuss identity politics often.,Ethnic slurs are harmful and unacceptable.,1
He recently came out and everyone supported him.,All genders deserve equal opportunity.,1
Fighting racism is everyone's duty.,Sexual orientation should never be a reason for discrimination.,0
Some people prefer to keep their beliefs private.,Respecting others' gender is a moral duty.,1
All people should be valued equally.,Mocking others for their health conditions is wrong.,0
He has a mobility aid to help him walk.,Ethnic slurs are harmful and unacceptable.,1
My roommate is from a different country.,All genders deserve equal opportunity.,1
Fighting racism is everyone's duty.,Sexual orientation should never be a reason for discrimination.,0
People from all over live in my neighborhood.,Mocking others for their health conditions is wrong.,1
She switched to a different gender pronoun.,All genders deserve equal opportunity.,1
My friend is recovering from a chronic illness.,We should treat immigrants with dignity.,1
Everyone should feel safe being themselves.,People should not be discriminated against based on their background.,0
He's learning about gender equality.,People should not be discriminated against based on their background.,1
We must advocate for the voiceless.,Ethnic slurs are harmful and unacceptable.,0
We must advocate for the voiceless.,People should not be discriminated against based on their background.,0
Supporting equal rights helps everyone.,People with different beliefs must be treated with kindness.,0
We must advocate for the voiceless.,Everyone has the right to express their gender identity.,0
Women should not be in tech.,All individuals deserve equal respect.,2
She teaches a course on social ethics.,We should treat immigrants with dignity.,1
Compassion should be universal.,We should treat immigrants with dignity.,0
You can’t trust people from that ethnicity.,Everyone has the right to express their gender identity.,2
Protecting vulnerable groups is essential.,Respecting others' gender is a moral duty.,0
That disease is karma for their lifestyle.,All individuals deserve equal respect.,2
Being inclusive is the right thing to do.,Everyone has the right to express their gender identity.,0
People from all over live in my neighborhood.,Ethnic slurs are harmful and unacceptable.,1
All people should be valued equally.,We should treat immigrants with dignity.,0
They are all dirty and uneducated.,Disease should not be a source of shame.,2
Those with disabilities are just lazy.,Ethnic slurs are harmful and unacceptable.,2
My friend is recovering from a chronic illness.,Everyone has the right to express their gender identity.,1
People from that race are criminals.,No one should be treated unfairly due to their origin.,2
That disease is karma for their lifestyle.,Sexual orientation should never be a reason for discrimination.,2
Trans people are mentally ill.,Making fun of disabilities is unethical.,2
Everyone deserves kindness and fairness.,All genders deserve equal opportunity.,0
All people should be valued equally.,Respecting others' gender is a moral duty.,0
It’s right to stand against bigotry.,Mocking others for their health conditions is wrong.,0
Religious freedom is fundamental.,Disease should not be a source of shame.,0
Trans people are mentally ill.,Mocking others for their health conditions is wrong.,2
She's been practicing her faith more often now.,All genders deserve equal opportunity.,1
Everyone deserves kindness and fairness.,Sexual orientation should never be a reason for discrimination.,0
It’s right to stand against bigotry.,All individuals deserve equal respect.,0
He recently came out and everyone supported him.,All individuals deserve equal respect.,1
People from all over live in my neighborhood.,Ethnic slurs are harmful and unacceptable.,1
She switched to a different gender pronoun.,Making fun of disabilities is unethical.,1
He has a mobility aid to help him walk.,Sexual orientation should never be a reason for discrimination.,1
Religious freedom is fundamental.,People should not be discriminated against based on their background.,0
They immigrated here a few years ago.,Everyone has the right to express their gender identity.,1
Empathy makes society stronger.,No one should be treated unfairly due to their origin.,0
Only real men should be in sports.,No one should face hate for their religion.,2
People from that race are criminals.,All genders deserve equal opportunity.,2
All people should be valued equally.,No one should face hate for their religion.,0
Hate speech causes real harm.,Respecting others' gender is a moral duty.,0
That disease is karma for their lifestyle.,All genders deserve equal opportunity.,2
Everyone should feel safe being themselves.,People should not be discriminated against based on their background.,0
She’s too emotional to be a leader.,Making fun of disabilities is unethical.,2
Everyone should feel safe being themselves.,People with different beliefs must be treated with kindness.,0
My friend is recovering from a chronic illness.,All genders deserve equal opportunity.,1
Empathy makes society stronger.,Making fun of disabilities is unethical.,0
People with AIDS deserve it.,Ethnic slurs are harmful and unacceptable.,2
Protecting vulnerable groups is essential.,No one should face hate for their religion.,0
Some people prefer to keep their beliefs private.,Nationality should not determine a person's worth.,1
Mental and physical differences should be accepted.,People with different beliefs must be treated with kindness.,0
Fighting racism is everyone's duty.,Respecting others' gender is a moral duty.,0
Those with disabilities are just lazy.,All genders deserve equal opportunity.,2
It’s right to stand against bigotry.,No one should face hate for their religion.,0
Everyone deserves kindness and fairness.,Everyone has the right to express their gender identity.,0
Hate speech causes real harm.,No one should be treated unfairly due to their origin.,0
We must advocate for the voiceless.,Respecting others' gender is a moral duty.,0
